Location,Latitude,Longitude
38 km al E de Base Frei,-62.227,-58.244
31 km al E de Base Frei,-62.172,-58.382
36 km al E de Base Frei,-62.296,-58.314
37 km al E de Base Frei,-62.271,-58.274
38 km al E de Base Frei,-62.266,-58.262
42 km al E de Base Frei,-62.305,-58.19
49 km al E de Base Frei,-62.347,-58.078
36 km al E de Base Frei,-62.26,-58.296
36 km al E de Base Frei,-62.276,-58.297
39 km al E de Base Frei,-62.282,-58.234
37 km al E de Base Frei,-62.27,-58.268
35 km al E de Base Frei,-62.263,-58.313
36 km al E de Base Frei,-62.275,-58.303
36 km al E de Base Frei,-62.309,-58.327
36 km al E de Base Frei,-62.254,-58.297
35 km al E de Base Frei,-62.277,-58.319
37 km al E de Base Frei,-62.266,-58.275
34 km al E de Base Frei,-62.263,-58.327
37 km al E de Base Frei,-62.273,-58.274
32 km al E de Base Frei,-62.279,-58.372
35 km al E de Base Frei,-62.279,-58.32
36 km al E de Base Frei,-62.264,-58.303
34 km al E de Base Frei,-62.288,-58.347
34 km al E de Base Frei,-62.279,-58.334
36 km al E de Base Frei,-62.179,-58.275
37 km al E de Base Frei,-62.283,-58.276
36 km al E de Base Frei,-62.268,-58.288
34 km al E de Base Frei,-62.265,-58.329
53 km al E de Base Frei,-62.002,-58.04
30 km al E de Base Frei,-62.276,-58.413
235 km al O de Base Frei,-63.206,-63.016
32 km al E de Base Frei,-62.257,-58.361
35 km al E de Base Frei,-62.282,-58.323
39 km al E de Base Frei,-62.264,-58.241
34 km al E de Base Frei,-62.286,-58.355
36 km al E de Base Frei,-62.181,-58.277
36 km al E de Base Frei,-62.22,-58.278
34 km al E de Base Frei,-62.277,-58.337
34 km al E de Base Frei,-62.226,-58.324
33 km al E de Base Frei,-62.286,-58.359
36 km al E de Base Frei,-62.288,-58.303
38 km al E de Base Frei,-62.276,-58.253
39 km al E de Base Frei,-62.274,-58.248
37 km al E de Base Frei,-62.283,-58.275
36 km al E de Base Frei,-62.293,-58.313
37 km al E de Base Frei,-62.282,-58.278
35 km al E de Base Frei,-62.284,-58.324
38 km al E de Base Frei,-62.28,-58.272
36 km al E de Base Frei,-62.29,-58.302
34 km al E de Base Frei,-62.314,-58.366
40 km al E de Base Frei,-62.205,-58.195
34 km al E de Base Frei,-62.248,-58.331
32 km al E de Base Frei,-62.278,-58.386
34 km al E de Base Frei,-62.256,-58.339
32 km al E de Base Frei,-62.352,-58.452
39 km al E de Base Frei,-62.252,-58.238
34 km al E de Base Frei,-62.252,-58.321
32 km al E de Base Frei,-62.335,-58.422
33 km al E de Base Frei,-62.335,-58.408
34 km al E de Base Frei,-62.23,-58.316
37 km al E de Base Frei,-62.219,-58.254
31 km al E de Base Frei,-62.351,-58.473
31 km al E de Base Frei,-62.343,-58.467
31 km al E de Base Frei,-62.342,-58.455
32 km al E de Base Frei,-62.326,-58.414
26 km al E de Base Frei,-62.237,-58.476
31 km al E de Base Frei,-62.302,-58.413
31 km al E de Base Frei,-62.306,-58.423
31 km al E de Base Frei,-62.303,-58.424
31 km al E de Base Frei,-62.301,-58.426
35 km al E de Base Frei,-62.287,-58.332
32 km al E de Base Frei,-62.306,-58.408
30 km al E de Base Frei,-62.228,-58.392
33 km al E de Base Frei,-62.302,-58.386
35 km al E de Base Frei,-62.271,-58.314
32 km al E de Base Frei,-62.304,-58.397
34 km al E de Base Frei,-62.321,-58.382
36 km al E de Base Frei,-62.237,-58.284
35 km al E de Base Frei,-62.36,-58.406
32 km al E de Base Frei,-62.307,-58.405
36 km al E de Base Frei,-62.249,-58.292
32 km al E de Base Frei,-62.316,-58.414
35 km al E de Base Frei,-62.285,-58.333
35 km al E de Base Frei,-62.246,-58.306
35 km al E de Base Frei,-62.213,-58.305
190 km al O de Base Frei,-62.957,-62.294
34 km al E de Base Frei,-62.305,-58.368
32 km al E de Base Frei,-62.298,-58.391
31 km al E de Base Frei,-62.308,-58.434
34 km al E de Base Frei,-62.3,-58.348
36 km al E de Base Frei,-62.304,-58.315
35 km al E de Base Frei,-62.214,-58.294
38 km al E de Base Frei,-62.214,-58.242
33 km al E de Base Frei,-62.234,-58.336
36 km al E de Base Frei,-62.22,-58.285
36 km al E de Base Frei,-62.213,-58.287
